D:\2filerj\anaconda3\envs\torch\python.exe D:\Pythonnnn\弱监督的农业社会化销售服务评价\1数据集构建\requests爬虫.py
店铺数量是 217
当前店铺是第3659335个，评论数目是 240
当前店铺是第3711635个，评论数目是 240
当前店铺是第19579574388个，评论数目是 240
当前店铺是第4785686个，评论数目是 240
当前店铺是第59551357611个，评论数目是 240
当前店铺是第10022142787826个，评论数目是 240
当前店铺是第10044529753150个，评论数目是 0
当前店铺是第68771870932个，评论数目是 240
当前店铺是第100046623801个，评论数目是 240
当前店铺是第100015565195个，评论数目是 240
当前店铺是第10020651036478个，评论数目是 240
当前店铺是第100016563559个，评论数目是 240
当前店铺是第10021062796260个，评论数目是 240
当前店铺是第10022090444779个，评论数目是 240
当前店铺是第10048366735970个，评论数目是 240
当前店铺是第16686656555个，评论数目是 240
当前店铺是第100021582851个，评论数目是 240
当前店铺是第10087918281041个，评论数目是 240
当前店铺是第100016823465个，评论数目是 240
当前店铺是第100045627345个，评论数目是 240
当前店铺是第10042500565024个，评论数目是 240
当前店铺是第10092931910413个，评论数目是 200
当前店铺是第10052278783155个，评论数目是 240
当前店铺是第10065381453921个，评论数目是 240
当前店铺是第10089045318758个，评论数目是 240
当前店铺是第10023350317710个，评论数目是 240
当前店铺是第100045879391个，评论数目是 240
当前店铺是第18145015369个，评论数目是 240
当前店铺是第10867677760个，评论数目是 240
当前店铺是第10087918625480个，评论数目是 240
当前店铺是第58724963529个，评论数目是 240
当前店铺是第29507357501个，评论数目是 240
当前店铺是第10078659541665个，评论数目是 200
当前店铺是第10023123759634个，评论数目是 240
当前店铺是第10026516439686个，评论数目是 240
当前店铺是第10082082479049个，评论数目是 239
当前店铺是第10087472045688个，评论数目是 239
当前店铺是第10067296310907个，评论数目是 240
当前店铺是第10039839807414个，评论数目是 201
当前店铺是第10052920497171个，评论数目是 240
当前店铺是第34322683008个，评论数目是 239
当前店铺是第56006030195个，评论数目是 240
当前店铺是第10022860771097个，评论数目是 240
当前店铺是第36882529772个，评论数目是 240
当前店铺是第10080808714885个，评论数目是 239
当前店铺是第10092558418667个，评论数目是 200
当前店铺是第10038723836577个，评论数目是 240
当前店铺是第10061894156361个，评论数目是 239
当前店铺是第10066274379574个，评论数目是 240
当前店铺是第10089212829967个，评论数目是 240
当前店铺是第63899803344个，评论数目是 240
当前店铺是第10086094988534个，评论数目是 200
当前店铺是第10086475251272个，评论数目是 200
当前店铺是第10061605001543个，评论数目是 240
当前店铺是第10062301919839个，评论数目是 240
当前店铺是第10036908464774个，评论数目是 240
当前店铺是第10086999513596个，评论数目是 200
当前店铺是第10063392196588个，评论数目是 240
当前店铺是第10029055047167个，评论数目是 240
当前店铺是第10038934134752个，评论数目是 240
当前店铺是第10082110130302个，评论数目是 240
当前店铺是第10090600890720个，评论数目是 240
当前店铺是第10039744379929个，评论数目是 200
当前店铺是第10071607498803个，评论数目是 220
当前店铺是第10023010422193个，评论数目是 100
当前店铺是第10062436634594个，评论数目是 14
当前店铺是第58759441086个，评论数目是 240
当前店铺是第10085648843770个，评论数目是 240
当前店铺是第10039340750056个，评论数目是 240
当前店铺是第55701453111个，评论数目是 236
当前店铺是第10023701980423个，评论数目是 239
当前店铺是第10071872088933个，评论数目是 240
当前店铺是第10024243613279个，评论数目是 240
当前店铺是第10060300759487个，评论数目是 240
当前店铺是第37283268342个，评论数目是 240
当前店铺是第59585261348个，评论数目是 240
当前店铺是第10027701795352个，评论数目是 239
当前店铺是第10039035079339个，评论数目是 239
当前店铺是第10091417475341个，评论数目是 197
当前店铺是第10056896754587个，评论数目是 103
当前店铺是第10040049936211个，评论数目是 240
当前店铺是第10025544925156个，评论数目是 240
当前店铺是第10089569359165个，评论数目是 128
当前店铺是第100067088758个，评论数目是 240
当前店铺是第10021643592788个，评论数目是 201
当前店铺是第10066260091118个，评论数目是 240
当前店铺是第10038804813078个，评论数目是 240
当前店铺是第10037112418771个，评论数目是 240
当前店铺是第10022026254186个，评论数目是 100
当前店铺是第10024737446460个，评论数目是 236
当前店铺是第10084536796637个，评论数目是 117
当前店铺是第10062944844119个，评论数目是 108
当前店铺是第10041070326414个，评论数目是 240
当前店铺是第10079919515476个，评论数目是 196
当前店铺是第10029032721801个，评论数目是 240
当前店铺是第10089619634135个，评论数目是 239
当前店铺是第10068380743159个，评论数目是 122
当前店铺是第10059194522852个，评论数目是 240
当前店铺是第10094577557781个，评论数目是 240
当前店铺是第10062236484368个，评论数目是 240
当前店铺是第10043540526706个，评论数目是 240
当前店铺是第10053262966027个，评论数目是 240
当前店铺是第100039957877个，评论数目是 230
当前店铺是第10071509827872个，评论数目是 240
当前店铺是第10089828731519个，评论数目是 200
当前店铺是第10061889883717个，评论数目是 239
当前店铺是第10068122322063个，评论数目是 238
当前店铺是第10074739097936个，评论数目是 240
