分词,评分,评论时间
柚子 味道 很 好 很 香 果肉 饱满 水分 足 味道 很 好 没有 坏果 商家 发货 速度 很快 包装 严实 完整 送货 态度 恶劣 商家 负 责任 处理 解决,5,2023-10-27 10:47:41
季节 不 汁水 甜度 增加,5,2023-10-26 20:32:32
柚子 收到 不好 吃皮 还 特厚 买 亏,5,2023-11-02 18:22:04
季节 不 汁水 甜度 不够,5,2023-10-26 20:33:21
甜度 不 高,5,2023-11-06 15:08:48
非常 好吃 非常 棒 下次 还 买,5,2023-03-07 09:59:45
非常 好吃,5,2023-03-07 09:58:53
满心 欢喜 打开 快递 切开 柚子 里面 果肉 坏 果皮 已 腐败 变质 垃圾 果果 肉 吃 进 嘴里 吐 出来 难以 下 咽,1,2023-02-10 21:47:17
很 好吃 很 满意,5,2023-02-05 20:11:06
很 好吃 买 吃 完 烂 两,5,2023-02-05 10:09:11
特别 好吃棒,5,2023-02-03 12:59:10
好吃 爆,5,2023-02-01 17:36:42
味道 不错 好 剥皮 还 耐放,5,2023-01-23 13:53:07
特别 好吃 已经 回购 很快 吃 完,5,2023-01-21 20:46:09
果实 点 偏 小 不 满意 口 咬 下去 口感 却 非常 好 赞 继续 购买,5,2023-01-14 21:00:55
千万 别 买 这家 柚子 欺诈 客户 买 柚王 发 两 斤 左右 小 柚子 真 无语 商家 请 大家 擦亮 眼睛,1,2023-01-12 19:27:59
没有 百 果园 卖 好吃 同样 柚,5,2023-01-11 09:11:47
发货 及时 非常 不错,5,2023-01-10 20:31:02
百果园 吃 柚 柚 味道 一点 都 不 不 甜 苦苦 渣子 没有 柚 大 果核 柚子 味道柚 价格,1,2022-12-26 21:09:41
送货 拖 太 久 两 头 已经 发 白发 硬,2,2022-12-25 18:36:45
柚子 质量 太 差 买 没 甜 店 里 买 差 太 收到 柚子 都 烂皮,1,2022-12-24 14:07:50
后面 买 两 次 吃 话 没 必要 买 礼 盒装 味道 还 不错 偶 瑕疵 确实 贵 贵,4,2022-12-23 19:54:53
很 大 闻闻 还 不错 切开 皮 非常 厚 味道 很 以前 吃 味道 差 很多,2,2022-12-23 18:11:22
没有 收到 货物 快递 特别 慢 商家 不 负 责任 放任 物流 作假 没有 收到 货物 物流 自行点 确认 要求 退款 必须 差评 大家 购买 小心 提高 警惕,1,2022-12-22 20:59:38
块 ldquo 大 rdquo 柚子 左边 这种 品相 发 良心 不 会 疼么 真是 大 冤种,1,2022-12-22 16:17:36
味道 不错 挺 好 发 快递 不 给力,5,2022-12-21 16:27:31
朋友 说 还 挺 好吃,5,2022-12-21 16:19:27
挺 好 头 大 不 等于 芯 大 很 大 柚子 剖 出来 拳头 大小,5,2022-12-21 16:16:13
还 不错 味道 不 太 一致 品控 有待 加强,5,2022-12-21 16:15:26
箱 都 大 小 本来 以为 小 次品 没 想到 小 更 好吃,5,2022-12-21 16:14:45
尝 朋友 送 柚 满怀 期待 上饶馆 买 六 大失所望 大量 轻皮厚 瓤 少 味 苦 之前 好 印象 完全 摧毁 馆 不要 开 好 不 助农 坑农,2,2022-12-21 00:52:49
受 疫情 影响 好多 天才 送 开 箱 后 柚子 表皮 阴湿 冰碴儿 本来 选 斤 柚子 掂 起来 斤 量 果肉 很 小 此次 购物 蛮 失望 不 会 再 回购,2,2022-12-16 08:18:39
口感 般 略 苦味 价格 超 高 性价比 太 差,2,2022-12-14 16:22:00
两 剥 好 没 苹果 大 全 籽,5,2022-12-13 22:46:45
好吃,5,2022-12-13 19:17:02
难 吃 烂,5,2022-12-12 21:42:58
柚子 水 甜酸 口味 皮 太 厚 果实 比较 小 柚子 特点 好吃 第一 位,5,2022-12-10 19:26:54
两 柚子 特别 小,4,2022-12-09 11:56:19
相比 水果 店 买 柚贵店 柚子 个头 倒是 蛮 大 口味 差 很多 主要 问题 柚子肉 已经 干 两端 都 木头 干 只 中间 小 段 果肉 稍 好 水分 仍然 不足,1,2022-12-09 09:33:37
皮超 厚 超厚,5,2022-12-07 20:37:04
确实 好吃 会 复购会 推荐 朋友,5,2022-12-07 20:02:44
感觉 不 正宗 奖励 块 感觉 很 不 值微 酸皮 厚 吃 正宗柚 差 很多,1,2022-11-21 19:34:00
很 酸 没有 办法 入口 不 正宗 上饶柚,1,2022-11-21 14:41:22
确实 不错 很 好吃 挺 甜 水 挺,5,2022-11-20 10:53:54
柚子 水份 足 很 好吃 皮 点 厚 肉 点 小,5,2022-11-17 10:41:22
口感 酸皮厚 买 礼盒装 没有 发礼盒 普通 纸箱 装 块 寄 退货 不行 算 下次 不再 上当 受骗,5,2022-11-15 19:53:54
酸皮厚 还 不 退,3,2022-11-15 19:52:16
好吃 皮厚 肉 少,4,2022-11-13 17:51:13
五 斤 柚子 三 斤 皮 大 柚子 剥 出来 小 真的 会谢,5,2022-10-29 01:06:44
真的 好吃 柚子 水分,5,2022-03-31 23:15:04
好评,5,2022-03-12 13:09:43
没有 朋友 送 甜汁 水 甜度,3,2022-01-20 08:57:27
太 失望 第一 次 买 两 还 不 酸 水分 次 买 四 白乎乎 没 水分 算 还 酸 很 吃 不 酸 人 真 一百 块 钱 水漂,1,2022-01-16 13:46:56
买 最 大 果 没有 水分 不 甜 以前 买 都 水汪汪 甜甜 浪费,1,2022-01-11 10:52:56
用户 觉得 商品 不错,5,2022-01-10 08:41:17
不好 吃,5,2022-01-08 12:25:11
柚子 不 新鲜 收到 烂 店家 以后 做到 卖 新鲜 水果,1,2021-12-31 10:38:55
无籽口感 干涩 正宗 柚 一点 都 不 相符 再 不 会 买 差评 差评 差评,1,2021-12-27 12:28:57
不 酸 不 甜 根本 不 正宗 柚,5,2021-12-23 20:56:44
好像 摘 下来 很 久,3,2021-12-16 17:53:01
味道 点 苦 假冒,5,2021-12-11 11:15:39
外观 不 太 好看 很多 黑 点 不 知道 是否 正常,5,2021-12-06 22:14:37
本来 以为 京东 买 广丰柚子 正宗 吃 之后 假 没 一点 诚信,1,2021-11-29 12:32:45
东西 蛮 不错 值得 再次,5,2021-11-27 20:15:47
物有所值 非常 不错,5,2021-11-27 20:14:30
好,5,2021-11-26 17:10:13
绝 客服 很 棒,1,2021-11-25 18:32:47
柚子 外皮 宣传 产品 不 看 一点 干瘪 买 不 很 好 心里 惊 认为 产品 质量 肯定 不行 切开 后 家里人 吃 以后 都 觉得 还 不错 口感 不错 很 甜,5,2021-11-21 15:45:36
最 失望 次 购物 内部 芯 已经 腐烂 味道 酸涩,5,2021-11-18 15:21:47
