评论,FT,MODEL,Final_Label
大果小果一起买的，建议大果,1,2,1
买的是大果而发的是小果,0,2,0
非常感谢,1,2,1
红釉真美，香甜可口。水分十足。还会来复购的。,1,2,1
很不好,0,2,0
常买，全家人一起享用,1,2,1
酸酸甜甜的,1,2,1
很好额,1,2,1
送给远方亲人的中秋礼物，家人开心！,1,2,1
送给家人的中秋礼物，家人很开心！,1,2,1
标准沙田柚，色味正道,1,2,1
好好好,1,2,1
每年都要买的，买了寄回老家,1,2,1
送礼自用两相宜，一次购足。,1,2,1
会说话的产品，杠杠的,1,2,1
五颗星星超赞,1,2,1
红心柚含糖低，这个就很适合,1,2,1
多次购买，十一期间买来送朋友,1,2,1
下次继续购,1,2,1
孩子说吃起来很有家乡的味道,1,2,1
一个柚子全是皮,0,2,0
盆友圈推荐、果断买、值值值,1,2,1
很甜汁多,1,2,1
物美价廉物美价廉，。,1,2,1
汁水饱满,1,2,1
有柚子的味道,1,2,1
纯甜无酸，很水灵,1,2,1
差劲,0,2,0
柚子太次了一点也不好,1,2,1
个柚子，带箱只有斤,2,2,2
可！,1,2,1
包装完好无损，汁水多！！！！,1,2,1
不是正宗平和三红柚，偏酸,0,2,0
柚子真的狠好吃我买了好几次了。,1,2,1
承诺号到，号才到，东西还不咋滴,0,2,0
不好吃，不像超市里的红心柚,0,2,0
不要买不能吃。没水份干巴巴,0,2,0
？这种货也发？！,0,2,0
可能需要放一段时间,0,2,0
一盒，包装时间为，三个是软吧吧的，其中一个顶部已发黑的霉,0,2,0
摸起来有点儿焉巴,0,2,0
不行,0,2,0
糟心,0,2,0
差差差差,0,2,0
水果有欠新鲜感，不是很能接受。,0,2,0
成熟度不够，五斤只给了四斤，对净含量有误解！做生意要诚信哦！,0,2,0
我没拿到东西,2,2,2
不想评价，请看图。品相真的一言难尽,0,2,0
斤就三个是不是被偷了,2,2,2
东西居然是大籽的，不和以前其他渠道买的一样。,0,2,0
