分词,评分,评论时间
柚子味道很好，很香，果肉饱满，水分足，没有坏果。商家发货速度很快，包装严实完整，就是这边送货态度恶劣，商家也负责任处理解决。,5,2023-10-27 10:47:41
季节不到，汁水甜度待增加。,5,2023-10-26 20:32:32
柚子收到了不好吃，皮还特厚，买亏了,5,2023-11-02 18:22:04
季节不到，汁水甜度不够。,5,2023-10-26 20:33:21
甜度不高,5,2023-11-06 15:08:48
非常好吃，非常棒，下次还买,5,2023-03-07 09:59:45
非常好吃,5,2023-03-07 09:58:53
满心欢喜打开快递，切开柚子，里面果肉是坏的。其中一个果皮已腐败变质，垃圾果。果肉吃进嘴里就吐出来。难以下咽。,1,2023-02-10 21:47:17
很好吃！！！很满意！！！,5,2023-02-05 20:11:06
很好吃，就是买多了，吃完烂了两个,5,2023-02-05 10:09:11
特别好吃，棒！,5,2023-02-03 12:59:10
好吃爆了,5,2023-02-01 17:36:42
味道不错，好剥皮，还耐放,5,2023-01-23 13:53:07
特别好吃，已经回购，很快就吃完了,5,2023-01-21 20:46:09
果实有点偏小，有些不满意，但一口咬下去口感却非常好，赞一个，继续购买哦！,5,2023-01-14 21:00:55
千万别买这家的柚子，欺诈客户，买的柚王，结果发来两个一斤左右小柚子，真是无语！商家，请大家擦亮眼睛,1,2023-01-12 19:27:59
没有百果园卖的好吃，同样是柚,5,2023-01-11 09:11:47
发货及时，非常不错！,5,2023-01-10 20:31:02
在百果园吃过柚，这个柚味道一点都不对，不甜，苦苦的，有渣子，也没有柚哪种大果核，一般柚子的味道，柚价格。,1,2022-12-26 21:09:41
因为送货拖得太久，有的两头已经发白发硬。,2,2022-12-25 18:36:45
柚子质量太差了，买了个没一个甜的，和店里买的差太多了，收到柚子有些都烂皮了,1,2022-12-24 14:07:50
呃，后面又买了两次，自己吃的话，没必要买礼盒装，味道还不错，偶有瑕疵，就是确实贵了贵了，,4,2022-12-23 19:54:53
很大闻闻还不错切开了皮非常厚味道很一般和以前吃的味道差了很多,2,2022-12-23 18:11:22
没有收到货物，快递特别慢，商家不负责任，放任物流作假，没有收到货物物流自行点确认，要求退款，必须差评，大家购买小心，提高警惕！！！？,1,2022-12-22 20:59:38
块一个的ldquo大rdquo柚子，左边这种品相你们也发，你们良心不会疼么？我真是个大冤种,1,2022-12-22 16:17:36
味道还是不错，挺好的，就是发的快递不给力,5,2022-12-21 16:27:31
朋友说还挺好吃的,5,2022-12-21 16:19:27
挺好的，不过个头大不等于芯大，很大一个柚子剖出来，只有拳头大小,5,2022-12-21 16:16:13
还不错，味道不太一致，品控有待加强,5,2022-12-21 16:15:26
每一箱都是一大一小，本来以为小的是次品，没想到小的更好吃,5,2022-12-21 16:14:45
尝了朋友送的柚，满怀期待的从上饶馆买了六个，大失所望，个大、量轻、皮厚、瓤少、味苦，把之前的好印象完全摧毁。这样的馆还是不要开了为好，不是助农，是坑农。,2,2022-12-21 00:52:49
受疫情影响，等了好多天才送来，开箱后柚子表皮阴湿有冰碴儿，本来选的斤的柚子，掂起来也就斤的量，果肉也很小，此次购物蛮失望的，不会再回购了,2,2022-12-16 08:18:39
口感一般般，略有苦味，价格超高，性价比太差。,2,2022-12-14 16:22:00
两个剥好了没苹果大，全是籽,5,2022-12-13 22:46:45
好吃,5,2022-12-13 19:17:02
难吃，还是烂的,5,2022-12-12 21:42:58
柚子水多，甜酸口味，就是皮太厚，果实比较小，但是这个柚子就是这个特点，好吃是第一位的,5,2022-12-10 19:26:54
有两个柚子特别小,4,2022-12-09 11:56:19
相比在水果店买的柚，贵店的柚子个头倒是蛮大，但是口味差了很多，主要问题是柚子肉已经干了，两端都像木头一样干，只有中间一小段果肉稍好，但是水分仍然不足。,1,2022-12-09 09:33:37
皮超厚超厚,5,2022-12-07 20:37:04
确实好吃，会复购，会推荐给朋友,5,2022-12-07 20:02:44
感觉不正宗。个奖励块了，感觉很不值，微酸皮又厚，跟我吃过的正宗柚差很多,1,2022-11-21 19:34:00
很酸，没有办法入口，这不是正宗的上饶柚,1,2022-11-21 14:41:22
确实不错。很好吃挺甜的水挺多的,5,2022-11-20 10:53:54
柚子水份足，很好吃，就是皮有点厚，肉有点小,5,2022-11-17 10:41:22
口感酸，皮厚，买的礼盒装也没有发礼盒，就一个普通纸箱装一块寄给我。退货也不行，算了，下次不再上当受骗了,5,2022-11-15 19:53:54
酸，皮厚，还不给退,3,2022-11-15 19:52:16
好吃，就是皮厚肉少,4,2022-11-13 17:51:13
这这这五斤柚子三斤皮，那么大个柚子剥出来那么小，我真的会谢,5,2022-10-29 01:06:44
真的是好吃的柚子，水分多,5,2022-03-31 23:15:04
好评,5,2022-03-12 13:09:43
没有朋友送的甜，汁水还是多，甜度一般,3,2022-01-20 08:57:27
太失望了，第一次买了两个还可以不酸水分也多，第二次买了四个！！！白乎乎没水分也算了，还酸得很，吃不来酸的人真的一百多块钱打水漂了,1,2022-01-16 13:46:56
买的最大果，没有水分，不甜。以前买的都是水汪汪的，甜甜的。浪费了。,1,2022-01-11 10:52:56
该用户觉得商品不错,5,2022-01-10 08:41:17
不好吃，,5,2022-01-08 12:25:11
柚子不新鲜收到是烂了，店家以后还是做到要卖新鲜的水果,1,2021-12-31 10:38:55
无籽，口感干涩，和正宗的柚一点都不相符，再也不会买了。差评差评差评！,1,2021-12-27 12:28:57
不酸不甜，根本不是正宗的柚,5,2021-12-23 20:56:44
好像摘下来了很久了,3,2021-12-16 17:53:01
味道有点苦，是假冒的，,5,2021-12-11 11:15:39
外观不太好看，有很多黑点。不知道是否正常。,5,2021-12-06 22:14:37
本来以为在京东买的广丰柚子是正宗的吃了之后又是假的没一点诚信,1,2021-11-29 12:32:45
东西蛮不错。值得再次,5,2021-11-27 20:15:47
物有所值。非常不错了,5,2021-11-27 20:14:30
好！！！,5,2021-11-26 17:10:13
绝了客服也很棒,1,2021-11-25 18:32:47
柚子外皮跟宣传的产品不一样，看着有一点干瘪，买像不是很好，开始心里一惊，认为产品质量肯定不行。切开后家里人吃了以后都觉得还不错，口感不错，很甜。,5,2021-11-21 15:45:36
最失望的一次购物，内部芯已经腐烂，味道酸涩,5,2021-11-18 15:21:47
买了两个，其中一个确实非常好吃，吃完了漱口后，还留有余味，非常满意。但是另外一个是除了水还是很多以外，几乎没有任何味道，我偿了几口扔了。老家也种柚子，平时柚子也吃得很多。买的柚子好不好吃就是碰运气的。最近上饶不便去，不然还是要亲自去柚。,4,2021-11-07 08:59:13
太难吃了，皮厚又苦又干,2,2021-11-04 18:13:01
一如既往的好评，非常不错,5,2021-05-13 14:18:27
好,5,2021-04-30 14:59:23
的确是大的柚子，果子大，符合商家描述。皮比较厚，从照片也可以看出，是一个完好的果子，只是季节原因保存时间长了水分挥发多，口感显得干燥，我一直在买柚子，国内的都存在保存期长水分少的问题，建议多多改进。,4,2021-04-24 18:21:06
非常的喜欢，很好吃，下次多购买一点，发货物流也非常快,5,2021-04-24 08:14:25
真心无语、完全不能吃了还要放着卖？干的一点水份都没有还要放卖、真是能骗一个算一个吗？,1,2021-04-23 22:35:21
第一次买很好吃，果嫩，水多,5,2021-04-03 09:57:20
快递到是还可以，可柚子实在是太差了，是不是把要留种的寄给我了，老大的个头呀，拿起来屁轻屁轻的，打开包装，妈呀，估计是把柚子太爷爷搬来了，外皮厚的呀还抽抽的大大的褶子，里面果实拳头大小了，不光这样，掰开那大大的种子，大拇哥指甲盖大，我也就是住楼房，我要是有院子，真的直接种上了，直接扔了，太糊弄人了也,1,2021-03-27 11:17:52
水分很足，皮很厚，好吃,5,2021-03-16 04:44:11
推荐朋友购买，特别好吃,5,2021-03-12 08:06:42
物流很快，第二天到，依然很好吃,5,2021-03-12 08:04:22
柚子又老又苦,2,2021-03-08 19:01:53
吃完还行还会再看看,5,2021-03-07 17:30:49
水分很多。口感还是不错的。甜度中等。不酸。就是包装箱不咋地,5,2021-03-04 22:57:40
口感特备好，水分非常多。剥开的时候水主流。吃着过瘾,5,2021-03-03 14:32:31
犹豫了半天还是买了。不后悔水分特别多。就是包装不咋地，送人还是选礼盒装的,5,2021-03-03 14:31:00
？这种货也发？！,1,2021-03-02 14:36:26
水分多是柚的特点，但这次买的没有百果园买的甜。,3,2021-02-28 15:05:43
物流速度在春节期间还算不错，一共四个柚子，外表看起来不怎么样，但是剥开之后吃了一下，发现水分含量非常丰富，一点都不酸，味道很不错,5,2021-02-22 18:06:32
京东好货好品质好服务好物流，为京东点赞为京东点赞为京东快递小哥点赞为京东客服点赞！,5,2021-02-09 07:50:02
皮厚瓤小,3,2021-02-05 12:38:37
比较酸，皮厚，水分很足,5,2021-02-04 12:17:46
没想到老家还有这样的好东西，水分足，特别足,5,2021-01-31 19:34:37
月日中通快递员送到了妈妈驿站，但既没电话通知也没发提货码，直至月日自己查快件信息才发现，希望商家今后不要和中通快递合作，尤其是包头中通，简直垃圾,1,2021-01-28 08:42:30
跟超市买的不一样味道太酸了,5,2021-01-24 16:48:14
东西挺好的，就是价格偏贵,5,2021-01-21 20:29:55
水果很好。建议冬季北方订单做必要的保温防冻措施，现在全靠皮厚,5,2021-01-21 16:22:33
家乡的柚真不错，好吃。以后还会光顾的。,5,2021-01-09 20:51:56
发货快，包装得好，柚子收到完好无损。很好吃的柚子，水分足，稍微有点酸，甜度也够。好吃和好评！,5,2021-01-07 19:23:58
有柚子的味道,5,2021-01-05 01:42:05
不好吃，比去年买的差远了,4,2021-01-03 15:37:49
酸甜可口水多，我喜欢糊，就是里面的子大有的比西瓜子还大,5,2021-01-03 09:56:22
幸亏先买了一个品尝款，这个柚子和柚风马牛不相及，了解柚的看照片就知道。不知是什么窜种的杂品，味道平淡还有点酸，真正柚的甜香完全没有啊,1,2020-12-30 20:37:40
味道还不错，价格也很合适，物美价廉！！！！！！,5,2020-12-30 19:23:57
水汽有点大，不甜，还都有籽了，物流有点慢,3,2020-12-30 10:58:53
送人的，没有看到，应该好吃吧，物流给力很快就收到了！,5,2020-12-26 19:32:38
收到一箱有四个大柚子。两个不甜，两个味道还行。没有想象中的柚那么好吃。,5,2020-12-26 14:29:55
皮厚肉少，籽还大我都不知道评价里的是什么情况,5,2020-12-24 12:35:48
不好，核小皮厚，肉咬不动,3,2020-12-24 08:15:25
说实话柚子好吃是真，看相一般，价格高了的。性价比一般,5,2020-12-20 16:32:43
发货快，包装得好，柚收到完好无损。很好吃的柚，品种好，新鲜，汁多，甜甜的稍微带一点点酸。好评和吃完再来！,5,2020-12-19 23:14:02
不错,5,2020-12-18 16:52:11
发货快，包装得好，柚收到完好无损。很好吃的柚，新鲜，水分足，也蛮甜的，带一点点酸，好吃和好评，吃完再来。,5,2020-12-16 22:44:43
今年的柚子不错，口感很好,5,2020-12-14 12:28:36
柚子皮特别厚，而且味道不如传闻的好吃,2,2020-12-14 11:30:38
买了直接发给外地亲戚家的，尴尬的是其中一个有小虫。。。,5,2020-12-13 20:00:00
京东自营产品，值得信赖。。,5,2020-12-13 13:46:07
还可以会考虑再买的,5,2020-12-12 17:00:10
收到了一个坏果，联系店家后立马补寄了一个好的。水果难免有磕碰损坏，商家信誉不错～柚子本身水分较多，但不知道是不是过了季节，不是很甜。,5,2020-12-12 14:52:11
没传说的那么惊艳,5,2020-12-11 09:02:10
根本就不是柚，口感不好，水份也不足,2,2020-12-10 22:34:27
感觉还不错，性价比还行。值得试试,4,2020-12-10 07:47:36
外观很大果，掂起来不是很重，外皮看上去较粗糙，打开后心是红心，外瓤较厚，水份略感不足，甜度还好。总体马马虎虎。,5,2020-12-09 15:34:44
还行,5,2020-12-07 07:45:52
还可以吧，就是水分不多,5,2020-12-07 07:45:37
东西居然是大籽的，不和以前其他渠道买的一样。,5,2020-12-06 14:14:12
第一次买这家的，包装盒没个统一的物流还算快，剥开一个尝了尝不甜。。。,5,2020-12-06 12:13:24
这个柚不是正宗柚味道不好水份还干关键连肉都干的发白了根本没法吃还死贵买了两个打开直接扔了,5,2020-12-06 10:53:59
完全名不符实，带酸不甜，这么厚的皮居然瓤都能干了，是有多不新鲜啊！,1,2020-12-05 21:43:47
收到了柚子没有介绍的好吃，口感淡淡的，很失望,5,2020-12-04 22:05:52
买过很多品种的柚子，第一次买到是有籽的柚子，最主要皮特别厚，酸得来，不会再购买了,1,2020-12-04 20:38:42
果很大，但里面肉只有一半，有点干,5,2020-12-04 19:23:10
柚子是柚，品质不高，包装简单配送也还蛮快。,5,2020-12-04 05:38:07
柚子收到啦表皮光滑，剥开皮薄肉多果肉也饱满好剥，果肉嫩嫩哒好吃，很新鲜而且水分足。没有坏的了，个头很均匀每个都是好好的，没有磕碰，拿着手里看着新鲜是真的好吃，汁水甘甜，柚子的香味很浓。不会像其它的柚子一样有点苦味，柚子皮里的囊比较厚，很适合清炒。,5,2020-12-03 13:52:08
柚子已收，看上去不错，两个斤多，用京豆抵现，价格实惠，还未品尝，相信品质不错京东大平台，进入商家正规，待品尝后再追评。需要尝鲜的朋友可以下单。商家服务热情，快递送货上门。给予点赞。,5,2020-12-03 11:46:03
第一次网上购买柚子，听说柚好吃，试了试，感觉没那么好吃，皮厚不说，就是这品种，但水份肯定不算多，有干感，可能买大了，肉老核多，性价比不高。,4,2020-12-02 19:38:20
酸的都快掉牙了，大家千万不要买，不要上当了，完全没有一丝甜味。幸亏我就买了一个，东西直接扔了。,5,2020-12-02 14:26:00
每年这个季节必须品尝的最好吃的柚子,5,2020-11-30 16:37:29
极差的体验。个柚子，没有一个能吃的。柚我吃过多次，这次的个柚子根本不是柚。,1,2020-11-29 15:59:48
元就买这种精品，晕死我了。差评差评差评,5,2020-11-26 21:05:19
汁超级多，最好吃的柚子，没有之一，哈哈,5,2020-11-21 08:35:05
口感偏酸，比较新鲜。,5,2020-11-17 13:40:25
完美，产品很惊艳，性价比合适，希望用的长久！双十一的宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,5,2020-11-16 17:59:34
水份还可以，味道就一般，很淡,5,2020-11-16 06:38:40
不知道说啥好，本来是相信江西广播电台的直播推荐的，再加上又是助农产品，贵就贵一点（菜场是这一半的价格）好吃就行，谁知道收到后太让人失望，个柚子一个有水分，一个没水分。而且都不甜，一点都不甜。跟菜场比差远了，江西广播电台也让我失望，以后再也不相信这种什么直播带货了,1,2020-11-13 09:18:37
没有水分了,1,2020-11-06 15:02:04
东西已经收到了，和介绍一样，但是味道没有想象中的好，尝尝就好了，价格比普通的贵三倍多，性价比不高。,3,2020-10-31 22:42:17
柚子太次了一点也不好,5,2020-10-30 19:04:45
很好吃，水分足，每年都买。,5,2020-10-21 07:56:01
不是两箱吗？一个盒子柚子，皮很厚，肉很小，很干，很苦，和我们去年买的不一样，质量很差,5,2020-10-17 14:07:52
货很不好，瓤很小，水分也不多。,2,2020-10-11 13:28:10
不如第一次买的好吃了，遗憾。,5,2020-06-20 08:47:37
基本不能吃，一股子坏掉的味道，每天从外面回家，进门一股子坏味儿，全都扔掉了，既然不是这个季节的水果，干嘛还要卖！太了！,1,2020-06-02 11:12:10
这个真的是不知道该说什么了，买的两个礼盒装，没有礼盒，用破箱子装的，但是给了三个，这就无所谓了，反正自己吃，但是这柚子也太差了吧，本来个头就不大，皮占了一半，剥皮之前是柚子，剥皮之后就剩个橘子了。。。其中一个还跟水似的,3,2020-05-21 08:14:24
里面都是坏的，估计放了好多了，商家要求退钱,5,2020-05-16 01:21:47
估计不是吃柚子的季节，不好吃,5,2020-05-09 14:15:39
不是柚子的季节，但是很好吃,5,2020-05-01 15:13:32
味道很好，口感正宗，,5,2020-04-27 20:11:36
比较一般，去超市买的小，不知道是不是季节不够，快递太慢了,5,2020-04-25 11:52:53
口感还不错,5,2020-04-15 18:13:16
这次的柚子皮特别厚，不好吃！,5,2020-04-14 07:03:13
外包装有点瑕疵啊,5,2020-04-08 12:24:45
物美价廉，老人喜欢。,5,2020-04-04 17:06:01
皮厚籽多，味道难吃！芋头还有坏的！,1,2020-03-29 13:55:38
正宗，确确实实的江西名牌产品！,5,2020-03-28 14:00:50
有一块皮发黑了，其他还好,5,2020-03-25 18:38:04
只能说不是吃柚子的季节，千万不要去买。难吃，有点苦，味道怪怪的，很不新鲜。还好是看直播便宜买的，不然被商家。,1,2020-03-24 12:06:25
非常差的柚子，非常酸，不新鲜，有个别都腐烂臭了，售后也差,1,2020-03-22 22:35:19
非常好，非常好。特别好吃。,5,2020-03-22 18:00:11
