评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
柚子 味道 很 好 ， 很 香 ， 果肉 饱满 ， 水分 足 ， 没有 坏果 。 商家 发货 速度 很快 ， 包装 严实 完整 ， 就 是 这边 送货 态度 恶劣 ， 商家 也 负责任 处理 解决 。,1,1,2,2,1,1,1,2
季节 不 到 ， 汁水 甜度 待增加 。,2,0,2,2,2,2,2,2
柚子 收到 了 不好吃 ， 皮 还 特 厚 ， 买 亏 了,1,2,2,2,0,2,2,1
季节 不 到 ， 汁水 甜度 不够 。,2,0,2,2,2,2,2,2
甜度 不 高,2,0,2,2,2,2,2,2
非常 好吃 ， 非常 棒 ， 下次 还 买,1,1,2,2,2,2,2,2
非常 好吃,2,1,2,2,2,2,2,2
满心 欢喜 打开 快递 ， 切开 柚子 ， 里面 果肉 是 坏 的 。 其中 一个 果皮 已 腐败 变质 ， 垃圾果 。 果肉 吃 进 嘴里 就 吐 出来 。 难以下咽 。,0,1,2,2,0,2,2,1
很 好吃 ！ ！ ！ 很 满意 ！ ！ ！,2,1,2,2,2,2,1,2
很 好吃 ， 就 是 买 多 了 ， 吃 完 烂 了 两 个,2,1,2,2,2,2,2,2
特别 好吃 ， 棒 ！,1,1,2,2,2,2,2,2
好吃 爆 了,2,1,2,2,2,2,2,2
味道 不错 ， 好 剥皮 ， 还 耐放,1,1,2,2,2,2,2,2
特别 好吃 ， 已经 回购 ， 很快 就 吃 完 了,2,1,2,2,2,2,2,2
果实 有 点 偏 小 ， 有些 不 满意 ， 但 一 口 咬 下去 口感 却 非常 好 ， 赞 一个 ， 继续 购买 哦 ！,1,1,2,0,2,2,0,1
千万 别 买 这家 的 柚子 ， 欺诈 客户 ， 买 的 柚王 ， 结果 发 来 两 个 一 斤 左右 小 柚子 ， 真 是 无语 ！ 商家 ， 请 大家 擦亮 眼睛,0,2,2,2,2,2,2,0
没有 百 果园 卖 的 好吃 ， 同样 是 柚,2,1,2,2,2,2,2,2
发货 及时 ， 非常 不错 ！,2,2,2,2,2,1,2,2
在 百果园 吃 过 柚 ， 这个 柚 味道 一点 都 不对 ， 不 甜 ， 苦苦 的 ， 有 渣子 ， 也 没有 柚 哪 种 大 果核 ， 一般 柚子 的 味道 ， 柚 价格 。,0,0,2,1,2,2,2,1
因为 送货 拖 得 太 久 ， 有的 两 头 已经 发 白发硬 。,2,2,2,2,2,0,2,0
柚子 质量 太 差 了 ， 买 了 个 没 一个 甜 的 ， 和 店 里 买 的 差 太 多 了 ， 收到 柚子 有些 都 烂皮 了,1,0,2,2,0,2,2,1
呃 ， 后面 又 买 了 两 次 ， 自己 吃 的 话 ， 没 必要 买 礼 盒装 ， 味道 还 不错 ， 偶 有 瑕疵 ， 就 是 确实 贵 了 贵 了 ，,2,1,0,2,2,2,2,1
很 大 闻闻 还 不错 切开 了 皮 非常 厚 味道 很 一般 和 以前 吃 的 味道 差 了 很多,1,0,1,1,1,0,2,1
没有 收到 货物 ， 快递 特别 慢 ， 商家 不 负 责任 ， 放任 物流 作假 ， 没有 收到 货物 物流 自行点 确认 ， 要求 退款 ， 必须 差评 ， 大家 购买 小心 ， 提高 警惕 ！ ！ ！ ？,0,2,2,2,2,0,2,0
块 一个 的 ldquo 大 rdquo 柚子 ， 左边 这种 品相 你们 也 发 ， 你们 良心 不 会 疼 么 ？ 我 真是 个 大 冤种,1,2,2,2,2,2,1,0
味道 还是 不错 ， 挺 好 的 ， 就 是 发 的 快递 不 给力,1,1,2,2,2,0,2,1
朋友 说 还 挺 好吃 的,2,1,2,2,2,2,2,2
挺 好 的 ， 不 过 个 头 大 不 等于 芯 大 ， 很 大 一个 柚子 剖 出来 ， 只有 拳头 大小,1,1,2,0,2,2,2,1
还 不错 ， 味道 不 太 一致 ， 品控 有待 加强,1,0,1,2,1,1,2,1
每 一 箱 都 是 一 大 一 小 ， 本来 以为 小 的 是 次品 ， 没 想到 小 的 更 好吃,2,1,2,1,2,2,2,2
尝 了 朋友 送 的 柚 ， 满怀 期待 的 从 上饶馆 买 了 六 个 ， 大失所望 ， 个 大 、 量轻 、 皮厚 、 瓤 少 、 味 苦 ， 把 之前 的 好 印象 完全 摧毁 。 这样 的 馆 还是 不要 开 了 为 好 ， 不 是 助农 ， 是 坑农 。,1,1,2,1,0,2,2,1
受 疫情 影响 ， 等 了 好多 天才 送 来 ， 开 箱 后 柚子 表皮 阴湿 有 冰碴儿 ， 本来 选 的 斤 的 柚子 ， 掂 起来 也 就 斤 的 量 ， 果肉 也 很 小 ， 此次 购物 蛮 失望 的 ， 不 会 再 回购 了,0,2,2,1,2,2,1,1
口感 一般 般 ， 略 有 苦味 ， 价格 超 高 ， 性价比 太 差 。,2,0,0,2,2,2,2,0
两 个 剥 好 了 没 苹果 大 ， 全 是 籽,1,1,2,1,2,2,2,2
好吃,2,1,2,2,2,2,2,2
难吃 ， 还是 烂 的,0,0,2,2,2,2,2,2
柚子 水 多 ， 甜酸 口味 ， 就 是 皮 太 厚 ， 果实 比较 小 ， 但是 这个 柚子 就 是 这个 特点 ， 好吃 是 第一 位 的,2,1,2,0,0,2,2,1
有 两 个 柚子 特别 小,0,2,2,2,2,2,2,2
相比 在 水果 店 买 的 柚 ， 贵店 的 柚子 个头 倒是 蛮 大 ， 但是 口味 差 了 很多 ， 主要 问题 是 柚子肉 已经 干 了 ， 两端 都 像 木头 一样 干 ， 只有 中间 一 小 段 果肉 稍 好 ， 但是 水分 仍然 不足 。,1,0,2,0,0,0,2,1
皮超 厚 超厚,2,0,2,2,0,2,2,2
确实 好吃 ， 会 复购 ， 会 推荐 给 朋友,2,1,2,2,2,2,2,2
感觉 不 正宗 。 个 奖励 块 了 ， 感觉 很 不 值 ， 微酸皮 又 厚 ， 跟 我 吃 过 的 正宗柚 差 很多,0,0,2,2,2,0,2,0
很 酸 ， 没有 办法 入口 ， 这 不 是 正宗 的 上饶柚,1,0,2,2,2,2,2,1
确实 不错 。 很 好吃 挺 甜 的 水 挺 多 的,1,1,1,2,1,1,2,2
柚子 水份 足 ， 很 好吃 ， 就 是 皮 有 点 厚 ， 肉 有 点 小,2,1,2,0,2,2,2,1
