评论编号,评论,评分,用户名,用户地址,评论时间
20010040004,**柚子味道很好，很香，果肉饱满，水分足，没有坏果。商家发货速度很快，包装严实完整，就是这边送货态度恶劣，商家也负责任处理解决。,5,p***n,江西,2023-10-27 10:47:41
20008477660,季节不到，汁水甜度待增加。,5,j***4,北京,2023-10-26 20:32:32
20075925541,柚子收到了不好吃，皮还特厚，买亏了,5,j***p,广西,2023-11-02 18:22:04
20008482581,季节不到，汁水甜度不够。,5,j***4,北京,2023-10-26 20:33:21
20094894233,甜度不高,5,j***v,北京,2023-11-06 15:08:48
18867267910,非常好吃，非常棒，下次还买,5,j***e,,2023-03-07 09:59:45
18867266255,非常好吃,5,j***e,,2023-03-07 09:58:53
18771525121,满心欢喜打开快递，切开柚子，里面果肉是坏的。其中一个果皮已腐败变质，垃圾果。果肉吃进嘴里就吐出来。难以下咽。,1,j***k,,2023-02-10 21:47:17
18754062862,很好吃！！！很满意！！！,5,H***1,,2023-02-05 20:11:06
18752111790,很好吃，就是买多了，吃完烂了两个,5,j***i,,2023-02-05 10:09:11
18745801600,特别好吃，棒！,5,j***e,,2023-02-03 12:59:10
18740139438,好吃爆了,5,H***1,,2023-02-01 17:36:42
18718769524,味道不错，好剥皮，还耐放,5,y***7,,2023-01-23 13:53:07
18716847201,特别好吃，已经回购，很快就吃完了,5,爱***时,,2023-01-21 20:46:09
18694774244,果实有点偏小，有些不满意，但一口咬下去口感却非常好，赞一个，继续购买哦！,5,j***w,,2023-01-14 21:00:55
18686447170,千万别买这家的柚子，欺诈客户，买的柚王，结果发来两个一斤左右小柚子，真是无语！#商家，请大家擦亮眼睛,1,j***1,,2023-01-12 19:27:59
18679802577,没有百果园卖的好吃，同样是**柚,5,风***刀,,2023-01-11 09:11:47
18678432794,发货及时，非常不错！,5,j***f,,2023-01-10 20:31:02
18611498094,在百果园吃过**柚，这个**柚味道一点都不对，不甜，苦苦的，有渣子，也没有**柚哪种大果核，一般柚子的味道，**柚价格。,1,x***g,,2022-12-26 21:09:41
18606029580,因为送货拖得太久，有的两头已经发白发硬。,2,j***3,,2022-12-25 18:36:45
18599241341,柚子质量太差了，买了6个没一个甜的，和店里买的差太多了，收到柚子有些都烂皮了,1,a***光,,2022-12-24 14:07:50
18596215368,呃，后面又买了两次，自己吃的话，没必要买礼盒装，味道还不错，偶有瑕疵，就是确实贵了贵了，,4,a***i,,2022-12-23 19:54:53
18595632185,"很大  闻闻还不错
切开了 皮非常厚 味道很一般
和以前吃的味道差了很多",2,j***9,,2022-12-23 18:11:22
18591869260,没有收到货物，快递特别慢，商家不负责任，放任物流作假，没有收到货物物流自行点确认，要求退款，必须差评，大家购买小心，提高警惕！！！？,1,u***6,,2022-12-22 20:59:38
18589859227,45块一个的ldquo;大rdquo;柚子，左边这种品相你们也发，你们良心不会疼么？我真是个大冤种,1,j***w,,2022-12-22 16:17:36
18584281300,味道还是不错，挺好的，就是发的快递不给力,5,风***刀,,2022-12-21 16:27:31
18584211891,朋友说还挺好吃的,5,风***刀,,2022-12-21 16:19:27
18584188935,挺好的，不过个头大不等于芯大，很大一个柚子剖出来，只有拳头大小,5,风***刀,,2022-12-21 16:16:13
18584182284,还不错，味道不太一致，品控有待加强,5,风***刀,,2022-12-21 16:15:26
18584176653,每一箱都是一大一小，本来以为小的是次品，没想到小的更好吃,5,风***刀,,2022-12-21 16:14:45
18580534279,尝了朋友送的**柚，满怀期待的从上饶馆买了六个，大失所望，个大、量轻、皮厚、瓤少、味苦，把之前的好印象完全摧毁。这样的馆还是不要开了为好，不是助农，是坑农。,2,夏***鱼,,2022-12-21 00:52:49
18545159712,受疫情影响，等了好多天才送来，开箱后柚子表皮阴湿有冰碴儿，本来选的5.6-6斤的柚子，掂起来也就3斤的量，果肉也很小，此次购物蛮失望的，不会再回购了,2,小***o,,2022-12-16 08:18:39
18532706102,口感一般般，略有苦味，价格超高，性价比太差。,2,j***1,,2022-12-14 16:22:00
18527732847,两个剥好了没苹果大，全是籽,5,j***b,,2022-12-13 22:46:45
18525910117,好吃,5,四***韦,,2022-12-13 19:17:02
18519739007,难吃，还是烂的,5,H***1,,2022-12-12 21:42:58
18505875753,柚子水多，甜酸口味，就是皮太厚，果实比较小，但是这个柚子就是这个特点，好吃是第一位的,5,c***y,,2022-12-10 19:26:54
18498798500,有两个柚子特别小,4,风***刀,,2022-12-09 11:56:19
18498164130,相比在水果店买的**柚，贵店的柚子个头倒是蛮大，但是口味差了很多，主要问题是柚子肉已经干了，两端都像木头一样干，只有中间一小段果肉稍好，但是水分仍然不足。,1,风***刀,,2022-12-09 09:33:37
