words,type
新鲜,品质
水分,品质
色泽,品质
放心,品质
保证,品质
外皮,品质
颜色,品质
发霉,品质
坏果,品质
烂果,品质
干瘪,品质
遗憾,品质
腐烂,品质
好,品质
行,品质
发白,品质
发硬,品质
很足,品质
差评,品质
正宗,品质
正货,品质
烂,品质
棒,品质
变质,品质
赞,品质
喜欢,品质
坏,品质
建议买,品质
垃圾,品质
五星好评,品质
扔了,品质
凑合,品质
上当,品质
退货,品质
臭,品质
好吃,味道
甜,味道
酸甜,味道
美味,味道
适中,味道
不错,味道
细腻,味道
浓郁,味道
细嫩,味道
鲜嫩,味道
爽口,味道
不酸,味道
光滑,味道
酸酸,味道
难吃,味道
酸味,味道
微苦,味道
酸苦,味道
酸涩,味道
苦涩,味道
寡淡,味道
巨苦,味道
好,味道
老,味道
苦,味道
酸,味道
差点,味道
厚,味道
很足,味道
可以,味道
干,味道
刚好,味道
酸甜可口,味道
涩口,味道
酸酸甜甜,味道
爱吃,味道
划算,价格
便宜,价格
实惠,价格
合适,价格
优惠,价格
值得,价格
不错,价格
上涨,价格
贵,价格
不值,价格
抬价,价格
小贵,价格
物美价廉,价格
物超所值,价格
沉甸甸,分量
大,分量
足,分量
适中,分量
够,分量
充足,分量
合适,分量
均匀,分量
匀称,分量
适宜,分量
小,分量
少,分量
不足,分量
一般,分量
小个,分量
大个,分量
柔软,外观
光滑,外观
超厚,外观
发白,外观
发硬,外观
厚实,外观
紧实,外观
薄,外观
细腻,外观
皮薄,外观
完好,外观
结实,外观
讲究,外观
干净,外观
严实,外观
精致,外观
紧,外观
干,外观
仔细,外观
不错,外观
皮厚,外观
漂亮,外观
完美,外观
损坏,外观
费劲,外观
简陋,外观
变形,外观
破了,外观
伤疤,外观
高端,外观
物美价廉,外观
快,物流
快速,物流
给力,物流
不错,物流
方便,物流
快捷,物流
慢,物流
差,物流
没收到,物流
糟糕,物流
摔烂,物流
拖,物流
久,物流
收到,物流
送达,物流
垃圾,物流
慢慢,物流
没收到,物流
送货上门,物流
压扁,物流
丢,物流
满意,客服
及时,客服
礼貌,客服
热心,客服
细致,客服
周到,客服
耐心,客服
友善,客服
亲切,客服
良心,客服
恶劣,客服
虚假宣传,客服
欺骗,客服
投诉,客服
补偿,客服
回购,客服客服
好评,客服
发错,客服
不符,客服
骗人,客服
退,客服
取关,客服
索赔,客服
信赖,客服
缺斤少两,客服
