评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
不好 吃 ，,2,0,2,2,2,2,2,0
？ 这种 货 也 发 ？ ！,0,2,2,2,2,2,0,0
有 柚子 的 味道,1,1,2,2,2,2,2,2
不好 吃 ， 比 去年 买 的 差远 了,2,0,2,2,2,2,2,0
买 了 直接 发给 外地 亲戚家 的 ， 尴尬 的 是 其中 一个 有 小虫 。。。,0,2,2,2,2,2,2,0
没 传说 的 那么 惊艳,0,2,2,2,2,2,2,0
东西 居然 是 大籽 的 ， 不 和 以前 其他 渠道 买 的 一样 。,0,2,2,2,2,2,2,0
柚子 太 次 了 一点 也 不好,1,1,2,2,2,2,2,0
估计 不 是 吃 柚子 的 季节 ， 不好吃,2,0,2,2,2,2,2,0
至今 未 收货,2,2,2,2,2,2,0,0
常 买 ， 全家人 一起 享用,1,1,2,2,2,2,2,2
差差差差,0,0,2,2,2,2,2,0
会 说话 的 产品 ， 杠杠的,1,2,2,2,2,2,2,2
没 水份,2,0,2,2,2,2,2,0
非常 感谢 京东 ， 玩 东东 游戏 获 赠品,2,2,2,2,1,2,2,2
发货 速度 很快 ， 等等 再 吃 。,2,2,2,2,2,1,2,2
红心 的 ， 发苦 。,2,0,2,2,2,2,2,0
柚子 很 正 ， ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ，,1,2,2,2,2,2,2,2
不好吃,2,0,2,2,2,2,2,0
水果 有 欠 新鲜感 ， 不 是 很 能 接受 。,0,0,2,2,2,2,2,0
橘子 吧 ？,2,0,2,2,0,2,2,0
有时候 真 的 觉得 有些 事情,0,0,2,2,2,2,0,0
第一 次 买 京东 水果 ， 各种 问题 都 有 ， 不 会 复购 。,0,0,0,0,0,0,0,0
大果 小果 一起 买 的 ， 建议 大果,1,2,2,2,2,2,2,2
太 软 了 ， 酸略苦,0,0,2,2,2,2,2,0
摸 起来 有 点儿 焉 巴,0,2,2,2,0,2,2,0
没 水分,0,0,2,2,2,2,2,0
非常 感谢 快递员 郑茂蔚 先生 ， 这 几 年 来 家里 的 所有 生活 用品 ， 吃 的 喝 的 都 在 京东 买 ， 每次 都 是 那么 和蔼可亲 ， 特别 是 这 次 买 了 几 箱 柚子 ， 我 搬 不 上去 ， 他 主动 说 帮 我 搬 上 楼 ， 真 的 辛苦 了 ， 也 非常 感谢 郑茂蔚,2,2,2,2,2,1,2,2
一直 在 京东 上 买 的 ， 价廉物美,2,2,1,2,2,2,2,2
一 盒 ， 包装 时间 为 ， 三 个 是 软吧吧 的 ， 其中 一个 顶部 已 发 黑 的 霉,0,0,2,2,0,2,2,0
泡 水 喝 的 陪 着 红茶 一起 喝 的,2,1,2,2,2,2,2,2
酸到盲 的 都 开 眼 啊,2,0,2,2,2,2,2,0
水分 流失 ， 应该 是 放 的 时间 长 了,0,0,2,2,2,2,2,0
酸和苦 ， ， ，,2,0,2,2,2,2,2,0
苦水分 流失 差劲,2,0,2,2,2,2,2,0
味道 不好吃 难过,2,0,2,2,2,2,2,0
比 去年 的 小五分之一,2,2,2,0,2,2,2,0
偏酸,2,0,2,2,2,2,2,0
下 了 好几 单 啦 ， 这个 柚子 真 的 阔 以 ！,1,2,2,2,2,2,2,2
为什么 收 钱 ， 不 是 一 分 钱 吗,2,2,0,2,2,2,2,0
好好好,1,1,2,2,2,2,2,2
很 干酸 ， 就 吃 了 半 个,2,0,2,2,2,2,2,0
五 颗 星星 超赞,1,1,1,1,1,1,1,2
狗 都 不 吃,2,0,2,2,2,2,2,0
挂羊头 ， 卖狗肉 。,0,0,2,2,0,2,2,0
十分酸,2,0,2,2,2,2,2,0
很 不好,0,0,2,2,2,2,2,0
为啥 不 是 顺丰 快递 呢 ？ 都 找 不 到 快递点,2,2,2,2,2,0,2,0
只有 一个 ！ ！ ！ ！,2,2,2,0,2,2,2,0
偏酸 不 建议 买,2,0,2,2,2,2,2,0
承诺号 到 ， 号 才 到 ， 东西 还 不 咋 滴,0,0,2,2,2,0,0,0
中秋 的 时候 买 来 送礼 的 ， 然后 第二 天 降价 多 ， 心 累,2,2,0,2,2,2,2,0
牛 的,1,2,2,2,2,2,2,2
汁 多 肉 嫩 ， 份量 十足 物流 很快,2,1,2,2,2,1,2,2
买 了 好几 次 了 ， 第一 次 这个 品相 失望,2,2,2,2,0,2,2,0
酸酸的,2,0,2,2,2,2,2,0
一 堆 乱七八糟 ， 且 买 且 珍惜,0,2,2,2,0,2,2,0
辣鸡 卖家,2,2,2,2,2,2,0,0
与 图片 天差地别,0,2,2,2,2,2,0,0
好苦 啊 ！ 我 苦瓜 都 能 出 的 ， 都 觉得 难以下咽,2,0,2,2,2,2,2,0
没收 到,2,0,2,2,2,2,2,0
果子 不怎么 滴 。 辜负 了,0,2,2,2,2,2,2,0
红心柚 含 糖 低 ， 这个 就 很 适合,1,2,2,2,2,2,2,2
可 ！,1,2,2,2,2,2,2,2
糟心,0,2,2,2,2,2,2,0
苦味 比较 重 ， 平均 一个 太 不 值,2,0,0,2,2,2,2,0
今天 特价 他们 特价 买 他们 明天,2,2,1,2,2,2,2,2
还 没有 收 到,2,2,2,2,2,0,2,0
不好吃,2,0,2,2,2,2,2,0
约 四 个 ， 等于 两 个,2,2,2,0,2,2,2,0
挺重 的 ， 哈哈 ，,2,2,2,1,2,2,2,2
真的 很 无 语 两 次 买 的 同样 的 价格 大小 不 一样 ， 说 送 的 榨汁机 也 没有 。,2,2,2,0,2,2,0,0
如 图 所 示 ， 物流 信息 很快 。,2,2,2,2,2,1,2,2
有点 软塌塌,0,2,2,2,2,2,2,0
味道 杠杠滴,2,1,2,2,2,2,2,2
很 好额,1,1,2,2,2,2,2,2
尚 可,1,1,2,2,2,2,2,2
物美价廉物美价廉 ， 。,1,1,1,2,2,2,2,2
一 次 不好 的 购物 ， 拍 两 个 ， 只 发 了 一个 ，,2,2,2,0,2,2,0,0
不怎样 ， 没 水份 。,0,0,2,2,2,2,2,0
孩子 说 吃起来 很 有 家乡 的 味道,1,1,2,2,2,2,2,2
不 想 评价 ， 请 看 图 。 品相 真 的 一言难尽,0,2,2,2,0,2,2,0
与 实物 有 一定 差距 ， 保存 时间 较 长 ，,2,2,2,2,0,2,0,0
不能 吃 ， 都 是 皮和籽 ， 不 能 买 ， 不 能 下单,0,2,2,2,2,2,2,0
忘记 给 我 拿 红西 柚子 了,2,2,2,2,2,2,0,0
不好 吃 ， 没味,2,0,2,2,2,2,2,0
根本 没法 吃 ， 苦死 了 。,2,0,2,2,2,2,2,0
没 一个 能 吃 的,2,0,2,2,2,2,2,0
稍微 有 点 苦味,2,0,2,2,2,2,2,0
份量 不够 ， 个柚子 总共 斤 半 。,2,2,2,0,2,2,2,0
买 了 一 周 左右 ， 降价 了 一半 。,2,2,0,2,2,2,2,0
个 柚子 ， 带箱 只 有 斤,2,2,2,0,2,2,2,0
一点 也 不好吃 呀,2,0,2,2,2,2,2,0
大小 不一 ， 这,2,2,2,0,0,2,2,0
成熟度 不够 ， 五 斤 只 给 了 四 斤 ， 对 净 含量 有 误解 ！ 做 生意 要 诚信 哦 ！,0,0,2,0,2,2,2,0
要 的 是 红心柚子 ， 发 来 是 白心 的 。 因为 过 了 四十八 小时 ， 不 给 售 后 了 。,2,2,2,2,2,2,0,0
送 了 两 次 都 没 到 到 ， 快递 都 不 知道 到 哪里 去 了 ， 补发 了 也 没有,2,2,2,2,2,0,0,0
酸酸甜甜的,1,1,2,2,2,2,2,2
个 大汁 多 ， 味 美,2,1,2,1,1,2,2,2
太酸,2,0,2,2,2,2,2,0
我 没 拿 到 东西,2,2,2,2,2,0,2,0
大大小小 三 个 ， 吃 口 有 点 酸但 还 能 接受,2,0,2,2,2,2,2,0
斤 就 三 个 是 不 是 被 偷 了,2,2,2,0,2,2,2,0
