评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
柚子味道很好，很香，果肉饱满，水分足，没有坏果。商家发货速度很快，包装严实完整，就是这边送货态度恶劣，商家也负责任处理解决。,1,1,0,2,2,2,1,2
季节不到，汁水甜度待增加。,2,2,2,2,2,2,2,1
柚子收到了不好吃，皮还特厚，买亏了,1,2,2,2,2,2,2,1
季节不到，汁水甜度不够。,2,0,2,2,2,2,2,1
甜度不高,2,0,2,2,2,2,2,1
非常好吃，非常棒，下次还买,2,2,2,2,2,2,2,1
非常好吃,2,2,2,2,2,2,2,1
满心欢喜打开快递，切开柚子，里面果肉是坏的。其中一个果皮已腐败变质，垃圾果。果肉吃进嘴里就吐出来。难以下咽。,1,2,2,2,2,2,2,0
很好吃！！！很满意！！！,2,2,2,2,2,2,2,1
很好吃，就是买多了，吃完烂了两个,2,2,2,2,2,2,2,1
特别好吃，棒！,2,2,2,2,2,2,2,1
好吃爆了,2,2,2,2,2,2,2,1
味道不错，好剥皮，还耐放,2,1,2,2,2,2,2,1
特别好吃，已经回购，很快就吃完了,2,2,2,2,2,2,2,1
果实有点偏小，有些不满意，但一口咬下去口感却非常好，赞一个，继续购买哦！,2,1,2,2,2,2,2,1
千万别买这家的柚子，欺诈客户，买的柚王，结果发来两个一斤左右小柚子，真是无语！商家，请大家擦亮眼睛,0,2,2,2,2,2,2,0
没有百果园卖的好吃，同样是柚,2,2,2,2,2,2,2,1
发货及时，非常不错！,2,2,2,2,2,1,2,1
在百果园吃过柚，这个柚味道一点都不对，不甜，苦苦的，有渣子，也没有柚哪种大果核，一般柚子的味道，柚价格。,0,0,2,2,2,2,2,0
因为送货拖得太久，有的两头已经发白发硬。,2,2,2,2,2,2,2,0
柚子质量太差了，买了个没一个甜的，和店里买的差太多了，收到柚子有些都烂皮了,1,2,2,2,0,2,2,2
呃，后面又买了两次，自己吃的话，没必要买礼盒装，味道还不错，偶有瑕疵，就是确实贵了贵了，,2,1,2,2,2,2,2,1
很大闻闻还不错切开了皮非常厚味道很一般和以前吃的味道差了很多,2,0,1,2,2,2,2,2
没有收到货物，快递特别慢，商家不负责任，放任物流作假，没有收到货物物流自行点确认，要求退款，必须差评，大家购买小心，提高警惕！！！？,2,2,2,2,2,0,2,0
块一个的ldquo大rdquo柚子，左边这种品相你们也发，你们良心不会疼么？我真是个大冤种,1,2,2,2,2,2,2,0
味道还是不错，挺好的，就是发的快递不给力,2,1,2,2,2,2,2,1
朋友说还挺好吃的,2,2,2,2,2,2,2,1
挺好的，不过个头大不等于芯大，很大一个柚子剖出来，只有拳头大小,1,2,2,0,2,2,2,2
还不错，味道不太一致，品控有待加强,2,0,1,2,2,2,2,2
每一箱都是一大一小，本来以为小的是次品，没想到小的更好吃,2,2,2,2,2,2,2,1
尝了朋友送的柚，满怀期待的从上饶馆买了六个，大失所望，个大、量轻、皮厚、瓤少、味苦，把之前的好印象完全摧毁。这样的馆还是不要开了为好，不是助农，是坑农。,2,0,2,2,2,2,2,0
受疫情影响，等了好多天才送来，开箱后柚子表皮阴湿有冰碴儿，本来选的斤的柚子，掂起来也就斤的量，果肉也很小，此次购物蛮失望的，不会再回购了,0,2,2,1,2,2,2,2
口感一般般，略有苦味，价格超高，性价比太差。,2,0,0,2,2,2,2,0
两个剥好了没苹果大，全是籽,2,2,2,2,2,2,2,1
好吃,2,2,2,2,2,2,2,1
难吃，还是烂的,2,2,2,2,2,2,2,1
柚子水多，甜酸口味，就是皮太厚，果实比较小，但是这个柚子就是这个特点，好吃是第一位的,2,2,2,2,2,2,2,1
有两个柚子特别小,0,2,2,2,2,2,2,1
相比在水果店买的柚，贵店的柚子个头倒是蛮大，但是口味差了很多，主要问题是柚子肉已经干了，两端都像木头一样干，只有中间一小段果肉稍好，但是水分仍然不足。,0,2,2,1,2,2,2,2
皮超厚超厚,2,2,0,2,2,2,2,1
确实好吃，会复购，会推荐给朋友,2,2,2,2,2,2,2,1
感觉不正宗。个奖励块了，感觉很不值，微酸皮又厚，跟我吃过的正宗柚差很多,2,2,2,2,2,2,2,0
很酸，没有办法入口，这不是正宗的上饶柚,2,2,2,2,2,2,2,0
确实不错。很好吃挺甜的水挺多的,2,2,1,2,2,2,2,1
柚子水份足，很好吃，就是皮有点厚，肉有点小,2,2,2,2,2,2,2,1
口感酸，皮厚，买的礼盒装也没有发礼盒，就一个普通纸箱装一块寄给我。退货也不行，算了，下次不再上当受骗了,2,2,2,2,2,2,2,1
酸，皮厚，还不给退,2,2,2,2,2,2,2,0
好吃，就是皮厚肉少,2,2,2,2,2,2,2,1
这这这五斤柚子三斤皮，那么大个柚子剥出来那么小，我真的会谢,1,2,2,2,2,2,2,1
真的是好吃的柚子，水分多,1,2,2,2,2,2,2,1
好评,2,2,2,2,2,2,2,1
没有朋友送的甜，汁水还是多，甜度一般,2,0,2,2,2,2,2,0
太失望了，第一次买了两个还可以不酸水分也多，第二次买了四个！！！白乎乎没水分也算了，还酸得很，吃不来酸的人真的一百多块钱打水漂了,1,2,2,2,2,2,2,0
买的最大果，没有水分，不甜。以前买的都是水汪汪的，甜甜的。浪费了。,0,2,2,2,2,2,2,0
该用户觉得商品不错,2,2,1,2,2,2,2,1
不好吃，,2,2,2,2,2,2,2,1
柚子不新鲜收到是烂了，店家以后还是做到要卖新鲜的水果,0,2,2,2,2,2,2,0
无籽，口感干涩，和正宗的柚一点都不相符，再也不会买了。差评差评差评！,2,2,2,2,2,2,2,0
不酸不甜，根本不是正宗的柚,2,2,2,2,2,2,2,1
好像摘下来了很久了,2,2,2,2,2,2,2,0
味道有点苦，是假冒的，,2,0,2,2,2,2,2,1
外观不太好看，有很多黑点。不知道是否正常。,2,2,2,2,2,2,2,1
本来以为在京东买的广丰柚子是正宗的吃了之后又是假的没一点诚信,2,2,2,2,2,2,2,0
东西蛮不错。值得再次,2,2,1,2,2,2,2,1
物有所值。非常不错了,2,2,1,2,2,2,2,1
好！！！,2,2,2,2,2,2,2,1
绝了客服也很棒,2,2,2,2,2,2,2,0
柚子外皮跟宣传的产品不一样，看着有一点干瘪，买像不是很好，开始心里一惊，认为产品质量肯定不行。切开后家里人吃了以后都觉得还不错，口感不错，很甜。,2,1,0,2,2,2,2,2
最失望的一次购物，内部芯已经腐烂，味道酸涩,2,0,0,2,2,2,2,1
