品质,味道,价格,分量,外观,物流,客服,粗粒度
"[0.024345649406313896, 0.5717551708221436, 0.4038991630077362]","[0.007701304741203785, 0.4890632927417755, 0.5032354593276978]","[0.0783771276473999, 0.5329341888427734, 0.38868871331214905]","[0.004226059187203646, 0.459301233291626, 0.5364726781845093]","[0.06954488903284073, 0.5429245233535767, 0.3875306248664856]","[0.018077025189995766, 0.506815493106842, 0.4751075208187103]","[0.01526570226997137, 0.5367897152900696, 0.4479445219039917]","[0.020042842254042625, 0.5285636782646179, 0.4513935148715973]"
"[0.00640606414526701, 0.5712242126464844, 0.4223697781562805]","[0.022097749635577202, 0.5871267318725586, 0.39077550172805786]","[0.02740922011435032, 0.5726369619369507, 0.39995378255844116]","[0.005594946444034576, 0.4123287498950958, 0.5820763111114502]","[0.049903761595487595, 0.5422742366790771, 0.4078219532966614]","[0.008302667178213596, 0.5114886164665222, 0.48020869493484497]","[0.007727941498160362, 0.5785618424415588, 0.41371023654937744]","[0.030225951224565506, 0.5459713339805603, 0.4238027036190033]"
"[0.0050340937450528145, 0.5386641621589661, 0.4563017189502716]","[0.004373609088361263, 0.47912096977233887, 0.5165054798126221]","[0.012281541712582111, 0.5553531646728516, 0.432365357875824]","[0.004080373793840408, 0.44356101751327515, 0.5523586869239807]","[0.09296455979347229, 0.5451432466506958, 0.3618921935558319]","[0.006273077335208654, 0.4682961702346802, 0.5254307389259338]","[0.0055275559425354, 0.566574215888977, 0.4278983175754547]","[0.038234930485486984, 0.5522853136062622, 0.4094797372817993]"
"[0.0029635336250066757, 0.560559093952179, 0.43647733330726624]","[0.007042944431304932, 0.5528582334518433, 0.4400988221168518]","[0.007733147591352463, 0.5053945183753967, 0.4868723154067993]","[0.005400269757956266, 0.4355240762233734, 0.559075653553009]","[0.0240209698677063, 0.567740797996521, 0.4082382321357727]","[0.005178345832973719, 0.5638660192489624, 0.4309556782245636]","[0.0031521215569227934, 0.4546442925930023, 0.5422036051750183]","[0.03322361037135124, 0.5625216364860535, 0.40425482392311096]"
"[0.004497210960835218, 0.5655741095542908, 0.42992866039276123]","[0.010885979980230331, 0.601294755935669, 0.3878192603588104]","[0.02175365947186947, 0.5558038949966431, 0.4224424362182617]","[0.004063834436237812, 0.4425092339515686, 0.55342698097229]","[0.03315681219100952, 0.5667833089828491, 0.40005990862846375]","[0.003536342177540064, 0.4903757870197296, 0.5060878396034241]","[0.002943536499515176, 0.462295264005661, 0.5347611904144287]","[0.02501145377755165, 0.5573879480361938, 0.4176006019115448]"
"[0.002804876770824194, 0.4905518591403961, 0.5066431760787964]","[0.005206300411373377, 0.47878190875053406, 0.5160117745399475]","[0.016691774129867554, 0.4928577244281769, 0.49045053124427795]","[0.0031370967626571655, 0.4361933171749115, 0.5606695413589478]","[0.04469015821814537, 0.545423686504364, 0.40988612174987793]","[0.007583043538033962, 0.4471034109592438, 0.5453135967254639]","[0.00693166209384799, 0.526080846786499, 0.4669875204563141]","[0.05446796119213104, 0.5466545224189758, 0.39887750148773193]"
"[0.004989310167729855, 0.5833562612533569, 0.41165438294410706]","[0.016604704782366753, 0.4543136656284332, 0.5290815830230713]","[0.06788885593414307, 0.5820015668869019, 0.3501095473766327]","[0.016233351081609726, 0.39621418714523315, 0.5875524878501892]","[0.012345265597105026, 0.43846312165260315, 0.5491916537284851]","[0.011251346208155155, 0.42517349123954773, 0.5635751485824585]","[0.014766079373657703, 0.4405994117259979, 0.5446345210075378]","[0.05554521828889847, 0.584359347820282, 0.36009544134140015]"
"[0.006209040060639381, 0.5745729804039001, 0.419217973947525]","[0.004538632929325104, 0.4685271680355072, 0.5269342064857483]","[0.01015625149011612, 0.5618727803230286, 0.4279709458351135]","[0.0024672718718647957, 0.4426928758621216, 0.5548398494720459]","[0.03127315267920494, 0.5175195336341858, 0.45120730996131897]","[0.00416351854801178, 0.4518684148788452, 0.5439680218696594]","[0.003088044235482812, 0.463205486536026, 0.5337064266204834]","[0.06565937399864197, 0.5659099221229553, 0.3684307336807251]"
"[0.012054159305989742, 0.4353143572807312, 0.5526314973831177]","[0.024523070082068443, 0.4429813027381897, 0.5324955582618713]","[0.030308086425065994, 0.44696080684661865, 0.5227311253547668]","[0.015144197270274162, 0.4320797324180603, 0.5527760982513428]","[0.03401610627770424, 0.4050809442996979, 0.5609028935432434]","[0.019332604482769966, 0.4307631254196167, 0.5499042868614197]","[0.021696418523788452, 0.42581501603126526, 0.5524886250495911]","[0.2450627088546753, 0.5480175614356995, 0.20691971480846405]"
"[0.0044120606034994125, 0.4585602283477783, 0.5370276570320129]","[0.0067282444797456264, 0.5791003704071045, 0.41417133808135986]","[0.018647482618689537, 0.45647966861724854, 0.5248727798461914]","[0.007108177058398724, 0.42451635003089905, 0.5683755278587341]","[0.013897016644477844, 0.4379190504550934, 0.5481838583946228]","[0.003914305940270424, 0.43985825777053833, 0.5562273859977722]","[0.005275446455925703, 0.43895184993743896, 0.5557727217674255]","[0.042060285806655884, 0.5470676422119141, 0.41087213158607483]"
"[0.004096205811947584, 0.4631483256816864, 0.5327554941177368]","[0.008950521238148212, 0.5825245976448059, 0.4085249602794647]","[0.008155209012329578, 0.5478371381759644, 0.4440077543258667]","[0.04568401351571083, 0.5148270726203918, 0.43948888778686523]","[0.009584540501236916, 0.443179190158844, 0.5472362637519836]","[0.005186790134757757, 0.5627027153968811, 0.4321104884147644]","[0.004981282167136669, 0.4522811472415924, 0.5427375435829163]","[0.02458447404205799, 0.5423061847686768, 0.43310943245887756]"
"[0.004962285049259663, 0.5678544640541077, 0.42718324065208435]","[0.00654826033860445, 0.4499550461769104, 0.5434966683387756]","[0.013836649246513844, 0.4357217848300934, 0.5504416227340698]","[0.009765619412064552, 0.4696970582008362, 0.5205373167991638]","[0.017759105190634727, 0.4384670555591583, 0.5437738299369812]","[0.008363388478755951, 0.4436321556568146, 0.5480044484138489]","[0.008341536857187748, 0.43930134177207947, 0.5523571372032166]","[0.1574534922838211, 0.5606158971786499, 0.2819305956363678]"
"[0.003837789874523878, 0.4506192207336426, 0.5455429553985596]","[0.009754817932844162, 0.4609758257865906, 0.5292693972587585]","[0.010737554170191288, 0.4795181155204773, 0.5097443461418152]","[0.008164593018591404, 0.42846155166625977, 0.563373863697052]","[0.01895350217819214, 0.5484803915023804, 0.43256616592407227]","[0.005444235168397427, 0.43899112939834595, 0.5555646419525146]","[0.006345762405544519, 0.44454729557037354, 0.5491069555282593]","[0.08732575178146362, 0.5625540614128113, 0.3501201272010803]"
"[0.0051634786650538445, 0.5705549716949463, 0.42428165674209595]","[0.00711806258186698, 0.44890496134757996, 0.5439769625663757]","[0.012735755182802677, 0.4355235993862152, 0.5517405867576599]","[0.009924582205712795, 0.47223126888275146, 0.5178440809249878]","[0.0186050646007061, 0.43815624713897705, 0.5432386994361877]","[0.00818398967385292, 0.44576898217201233, 0.546047031879425]","[0.008335628546774387, 0.43902918696403503, 0.552635133266449]","[0.1691216677427292, 0.5623378753662109, 0.2685404419898987]"
"[0.01982342265546322, 0.5402622818946838, 0.4399142861366272]","[0.01588006503880024, 0.44796252250671387, 0.5361573696136475]","[0.01902172900736332, 0.42712947726249695, 0.5538488030433655]","[0.016949312761425972, 0.42211228609085083, 0.5609384775161743]","[0.02377968281507492, 0.41677772998809814, 0.5594425201416016]","[0.017723267897963524, 0.433915913105011, 0.5483608245849609]","[0.01823596842586994, 0.4206961989402771, 0.5610678791999817]","[0.30241286754608154, 0.5569563508033752, 0.1406308114528656]"
"[0.0031808761414140463, 0.5708898901939392, 0.4259292185306549]","[0.0034600181970745325, 0.45129767060279846, 0.5452423691749573]","[0.01698816567659378, 0.5485121011734009, 0.4344998002052307]","[0.011080085299909115, 0.48978835344314575, 0.49913159012794495]","[0.011560440063476562, 0.4417383670806885, 0.546701192855835]","[0.0024797844234853983, 0.4375550150871277, 0.559965193271637]","[0.005107838660478592, 0.4408356547355652, 0.5540565848350525]","[0.042078517377376556, 0.5594387054443359, 0.3984827995300293]"
"[0.5418577194213867, 0.19127587974071503, 0.2668663561344147]","[0.28507354855537415, 0.2102835327386856, 0.504642903804779]","[0.19483688473701477, 0.25105220079421997, 0.5541109442710876]","[0.12634272873401642, 0.3025406301021576, 0.5711166858673096]","[0.1160631850361824, 0.3100596070289612, 0.573877215385437]","[0.1601584404706955, 0.27794525027275085, 0.5618962645530701]","[0.2693845331668854, 0.2053786963224411, 0.5252367854118347]","[0.571091890335083, 0.4193423092365265, 0.009565822780132294]"
"[0.004973514471203089, 0.4596107006072998, 0.5354158282279968]","[0.00809958204627037, 0.4561150074005127, 0.5357853770256042]","[0.01403885893523693, 0.4516768753528595, 0.5342843532562256]","[0.004644766449928284, 0.4447667598724365, 0.5505884885787964]","[0.05679834261536598, 0.5621154308319092, 0.38108620047569275]","[0.009209363721311092, 0.4422573447227478, 0.5485332608222961]","[0.0056501091457903385, 0.4465838074684143, 0.5477660894393921]","[0.0586417131125927, 0.5485374927520752, 0.3928208351135254]"
"[0.09267134964466095, 0.34808725118637085, 0.5592414140701294]","[0.06604219973087311, 0.3870477080345154, 0.5469101071357727]","[0.13789218664169312, 0.3337979316711426, 0.5283098816871643]","[0.03752456605434418, 0.39912140369415283, 0.5633540153503418]","[0.050752028822898865, 0.3902926743030548, 0.5589553117752075]","[0.0854283794760704, 0.3672161400318146, 0.5473554134368896]","[0.10106146335601807, 0.34509211778640747, 0.5538464188575745]","[0.26604798436164856, 0.6440942287445068, 0.08985773473978043]"
"[0.1654849499464035, 0.3219412565231323, 0.512573778629303]","[0.06179972365498543, 0.3731776475906372, 0.5650226473808289]","[0.18349424004554749, 0.3065935969352722, 0.5099121332168579]","[0.09441977739334106, 0.3569609522819519, 0.5486192107200623]","[0.05605936422944069, 0.39152976870536804, 0.552410900592804]","[0.09763087332248688, 0.35882461071014404, 0.5435445308685303]","[0.10899370163679123, 0.31412428617477417, 0.5768820643424988]","[0.5507339835166931, 0.4371665418148041, 0.012099537067115307]"
"[0.29202866554260254, 0.38463839888572693, 0.3233329653739929]","[0.07279931008815765, 0.3913560211658478, 0.5358446836471558]","[0.05123398080468178, 0.4261687397956848, 0.5225973129272461]","[0.06417828053236008, 0.3878021538257599, 0.5480195879936218]","[0.06910151243209839, 0.3809340298175812, 0.5499643683433533]","[0.0422794334590435, 0.4117826223373413, 0.5459380149841309]","[0.07373166084289551, 0.3785262703895569, 0.5477421283721924]","[0.15397164225578308, 0.5306403636932373, 0.3153879940509796]"
"[0.005068265367299318, 0.44661110639572144, 0.5483207106590271]","[0.017350418493151665, 0.4535824954509735, 0.5290670990943909]","[0.034766267985105515, 0.4326694905757904, 0.5325642228126526]","[0.01287929993122816, 0.4131156802177429, 0.5740049481391907]","[0.058483026921749115, 0.5562828779220581, 0.3852340579032898]","[0.016826217994093895, 0.41957008838653564, 0.5636036992073059]","[0.009699545800685883, 0.556976854801178, 0.43332362174987793]","[0.10815348476171494, 0.5621457695960999, 0.3297007977962494]"
